"functional_classification","t_volume","t_sample_count","t_volume_corrected","state","start_time"
"Major Collector","3904","2880","3904","VA","2022-09-01"
"Minor Arterial","10669","23040","10669","VA","2022-09-01"
"Principal Arterial - Other","75057","20530","75057","VA","2022-09-01"
"Trail or Shared Use Path","245637","66482","245637","VA","2022-09-01"
"Major Collector","3319","2976","3319","VA","2022-10-01"
"Minor Arterial","8878","23808","8878","VA","2022-10-01"
"Principal Arterial - Other","69162","23608","69162","VA","2022-10-01"
"Trail or Shared Use Path","176299","82176","176299","VA","2022-10-01"
"Interstate","10391","4328","10391","VA","2022-11-01"
"Major Collector","2144","2876","2143","VA","2022-11-01"
"Minor Arterial","6708","23008","6704","VA","2022-11-01"
"Principal Arterial - Other","53144","23001","53103","VA","2022-11-01"
"Trail or Shared Use Path","109730","69148","109712","VA","2022-11-01"
"Interstate","9266","5952","9266","VA","2022-12-01"
"Major Collector","1194","2976","1194","VA","2022-12-01"
"Minor Arterial","4471","23808","4471","VA","2022-12-01"
"Principal Arterial - Other","29858","23808","29858","VA","2022-12-01"
"Trail or Shared Use Path","56083","71190","56083","VA","2022-12-01"
"Interstate","14442","5952","14442","VA","2023-01-01"
"Major Collector","1659","2976","1659","VA","2023-01-01"
"Minor Arterial","5996","23100","5996","VA","2023-01-01"
"Principal Arterial - Other","42015","23697","42015","VA","2023-01-01"
"Trail or Shared Use Path","85041","70998","85041","VA","2023-01-01"
"Interstate","14125","5376","14125","VA","2023-02-01"
"Major Collector","1677","2688","1677","VA","2023-02-01"
"Minor Arterial","5549","18816","5549","VA","2023-02-01"
"Principal Arterial - Other","69716","34548","69716","VA","2023-02-01"
"Trail or Shared Use Path","87621","64512","87621","VA","2023-02-01"
"Interstate","16553","5760","16553","VA","2023-03-01"
"Major Collector","2135","2880","2135","VA","2023-03-01"
"Minor Arterial","6877","20301","6824","VA","2023-03-01"
"Principal Arterial - Other","92043","37808","91504","VA","2023-03-01"
"Trail or Shared Use Path","119042","69330","118639","VA","2023-03-01"
"Interstate","28084","5760","28084","VA","2023-04-01"
"Major Collector","3148","2880","3148","VA","2023-04-01"
"Minor Arterial","10375","22390","10375","VA","2023-04-01"
"Principal Arterial - Other","119638","37440","119638","VA","2023-04-01"
"Trail or Shared Use Path","181427","69114","181427","VA","2023-04-01"
"Interstate","36762","5952","36762","VA","2023-05-01"
"Major Collector","3799","2976","3799","VA","2023-05-01"
"Minor Arterial","12937","23808","12937","VA","2023-05-01"
"Principal Arterial - Other","139547","38688","139547","VA","2023-05-01"
"Trail or Shared Use Path","219479","70212","219479","VA","2023-05-01"
"Interstate","33245","5760","33245","VA","2023-06-01"
"Major Collector","3827","2880","3827","VA","2023-06-01"
"Minor Arterial","11432","22350","11432","VA","2023-06-01"
"Principal Arterial - Other","129033","37223","129033","VA","2023-06-01"
"Trail or Shared Use Path","187961","60884","187961","VA","2023-06-01"
"Interstate","35799","5952","35799","VA","2023-07-01"
"Major Collector","3854","2976","3854","VA","2023-07-01"
"Minor Arterial","10072","22010","10072","VA","2023-07-01"
"Principal Arterial - Other","132998","37451","132998","VA","2023-07-01"
"Trail or Shared Use Path","182036","53408","182036","VA","2023-07-01"
"Interstate","36073","5952","36073","VA","2023-08-01"
"Major Collector","3852","2976","3852","VA","2023-08-01"
"Minor Arterial","8640","23698","8640","VA","2023-08-01"
"Principal Arterial - Other","142086","38577","142086","VA","2023-08-01"
"Trail or Shared Use Path","192868","54786","192868","VA","2023-08-01"
"Interstate","30614","5760","30614","VA","2023-09-01"
"Major Collector","3307","2880","3307","VA","2023-09-01"
"Minor Arterial","8010","20894","8010","VA","2023-09-01"
"Principal Arterial - Other","130988","37440","130988","VA","2023-09-01"
"Trail or Shared Use Path","158081","51108","158081","VA","2023-09-01"
"Interstate","28768","5952","28768","VA","2023-10-01"
"Major Collector","3553","2976","3553","VA","2023-10-01"
"Minor Arterial","8427","21476","8427","VA","2023-10-01"
"Principal Arterial - Other","120455","36003","120455","VA","2023-10-01"
"Trail or Shared Use Path","157742","53336","157742","VA","2023-10-01"
"Interstate","17646","5744","17646","VA","2023-11-01"
"Major Collector","2042","2876","2042","VA","2023-11-01"
"Minor Arterial","5604","19035","5603","VA","2023-11-01"
"Principal Arterial - Other","73421","31222","73393","VA","2023-11-01"
"Trail or Shared Use Path","95656","51768","95646","VA","2023-11-01"
"Interstate","12037","5952","12037","VA","2023-12-01"
"Major Collector","1221","2976","1221","VA","2023-12-01"
"Minor Arterial","4454","17856","4454","VA","2023-12-01"
"Principal Arterial - Other","54251","32736","54251","VA","2023-12-01"
"Trail or Shared Use Path","63225","53568","63225","VA","2023-12-01"
"Interstate","8973","5952","8973","VA","2024-01-01"
"Major Collector","1033","2976","1033","VA","2024-01-01"
"Minor Arterial","3156","17856","3156","VA","2024-01-01"
"Principal Arterial - Other","47708","32736","47708","VA","2024-01-01"
"Trail or Shared Use Path","48437","53568","48437","VA","2024-01-01"
"Interstate","13119","5568","13119","VA","2024-02-01"
"Major Collector","1558","2784","1558","VA","2024-02-01"
"Minor Arterial","5101","16704","5101","VA","2024-02-01"
"Principal Arterial - Other","55233","27738","55233","VA","2024-02-01"
"Trail or Shared Use Path","76025","61241","76025","VA","2024-02-01"
"Interstate","5528","1920","5528","VA","2024-03-01"
"Major Collector","561","851","561","VA","2024-03-01"
"Minor Arterial","2099","6228","2099","VA","2024-03-01"
"Principal Arterial - Other","20386","9392","20386","VA","2024-03-01"
"Trail or Shared Use Path","31138","22392","31138","VA","2024-03-01"
"Trail or Shared Use Path","1464","493","1464","WA","2008-01-01"
"Trail or Shared Use Path","6089","1230","6089","WA","2008-02-01"
"Trail or Shared Use Path","5533","1486","5362","WA","2008-03-01"
"Trail or Shared Use Path","6517","1440","6517","WA","2008-04-01"
"Trail or Shared Use Path","8023","1488","8023","WA","2008-05-01"
"Trail or Shared Use Path","7020","1440","7020","WA","2008-06-01"
"Trail or Shared Use Path","6875","1488","6875","WA","2008-07-01"
"Trail or Shared Use Path","5585","1488","5585","WA","2008-08-01"
"Trail or Shared Use Path","7617","1440","7617","WA","2008-09-01"
"Trail or Shared Use Path","6225","1488","6225","WA","2008-10-01"
"Trail or Shared Use Path","4001","1438","4001","WA","2008-11-01"
"Trail or Shared Use Path","3484","1488","3484","WA","2008-12-01"
"Trail or Shared Use Path","3558","1640","3558","WA","2009-01-01"
"Trail or Shared Use Path","3464","2016","3464","WA","2009-02-01"
"Trail or Shared Use Path","3730","2228","3641","WA","2009-03-01"
"Trail or Shared Use Path","25173","2723","25173","WA","2009-04-01"
"Trail or Shared Use Path","10205","2976","10205","WA","2009-05-01"
"Trail or Shared Use Path","66318","2847","66318","WA","2009-06-01"
"Trail or Shared Use Path","8542","2463","8542","WA","2009-07-01"
"Trail or Shared Use Path","29218","5952","29218","WA","2009-08-01"
"Trail or Shared Use Path","24721","5760","24721","WA","2009-09-01"
"Trail or Shared Use Path","22019","5952","22019","WA","2009-10-01"
"Trail or Shared Use Path","36389","5752","36389","WA","2009-11-01"
"Trail or Shared Use Path","16796","5952","16796","WA","2009-12-01"
"Trail or Shared Use Path","27991","5952","27991","WA","2010-01-01"
"Principal Arterial - Other Freeways and Expressways","119","85","119","WA","2010-02-01"
"Trail or Shared Use Path","22208","4985","22208","WA","2010-02-01"
"Principal Arterial - Other Freeways and Expressways","861","743","837","WA","2010-03-01"
"Trail or Shared Use Path","25976","5943","25098","WA","2010-03-01"
"Principal Arterial - Other Freeways and Expressways","854","720","854","WA","2010-04-01"
"Trail or Shared Use Path","26493","5760","26493","WA","2010-04-01"
"Principal Arterial - Other Freeways and Expressways","1728","744","1728","WA","2010-05-01"
"Trail or Shared Use Path","26730","5952","26730","WA","2010-05-01"
"Principal Arterial - Other Freeways and Expressways","1126","720","1126","WA","2010-06-01"
"Trail or Shared Use Path","26300","5760","26300","WA","2010-06-01"
"Principal Arterial - Other Freeways and Expressways","555","744","555","WA","2010-07-01"
"Trail or Shared Use Path","47682","5367","47682","WA","2010-07-01"
"Principal Arterial - Other Freeways and Expressways","426","744","426","WA","2010-08-01"
"Trail or Shared Use Path","24977","5208","24977","WA","2010-08-01"
"Principal Arterial - Other Freeways and Expressways","463","720","463","WA","2010-09-01"
"Trail or Shared Use Path","18018","5040","18018","WA","2010-09-01"
"Principal Arterial - Other Freeways and Expressways","1061","744","1061","WA","2010-10-01"
"Trail or Shared Use Path","15142","5208","15142","WA","2010-10-01"
"Principal Arterial - Other Freeways and Expressways","809","719","809","WA","2010-11-01"
"Trail or Shared Use Path","84421","4701","84421","WA","2010-11-01"
"Principal Arterial - Other Freeways and Expressways","985","744","985","WA","2010-12-01"
"Trail or Shared Use Path","7520","3720","7520","WA","2010-12-01"
"Principal Arterial - Other Freeways and Expressways","4504","744","4504","WA","2011-01-01"
"Trail or Shared Use Path","13168","3720","13168","WA","2011-01-01"
"Principal Arterial - Other Freeways and Expressways","8148","672","8148","WA","2011-02-01"
"Trail or Shared Use Path","73773","2895","73773","WA","2011-02-01"
"Principal Arterial - Other Freeways and Expressways","709","743","693","WA","2011-03-01"
"Trail or Shared Use Path","7568","2743","7280","WA","2011-03-01"
"Principal Arterial - Other Freeways and Expressways","857","720","857","WA","2011-04-01"
"Trail or Shared Use Path","5608","2160","5608","WA","2011-04-01"
"Principal Arterial - Other Freeways and Expressways","596","744","596","WA","2011-05-01"
"Trail or Shared Use Path","8209","2674","8209","WA","2011-05-01"
"Minor Collector","0","552","0","WA","2011-06-01"
"Principal Arterial - Other Freeways and Expressways","170","720","170","WA","2011-06-01"
"Trail or Shared Use Path","10745","2880","10745","WA","2011-06-01"
"Minor Collector","0","1488","0","WA","2011-07-01"
"Principal Arterial - Other Freeways and Expressways","99","744","99","WA","2011-07-01"
"Trail or Shared Use Path","12734","2976","12734","WA","2011-07-01"
"Minor Collector","0","1488","0","WA","2011-08-01"
"Principal Arterial - Other Freeways and Expressways","110","744","110","WA","2011-08-01"
"Trail or Shared Use Path","13188","2976","13188","WA","2011-08-01"
"Minor Collector","0","1440","0","WA","2011-09-01"
"Principal Arterial - Other Freeways and Expressways","159","720","159","WA","2011-09-01"
"Trail or Shared Use Path","9916","2880","9916","WA","2011-09-01"
"Minor Collector","0","1488","0","WA","2011-10-01"
"Principal Arterial - Other Freeways and Expressways","675","1030","675","WA","2011-10-01"
"Trail or Shared Use Path","76681","2328","76681","WA","2011-10-01"
"Minor Collector","0","1436","0","WA","2011-11-01"
"Principal Arterial - Other Freeways and Expressways","963","2157","963","WA","2011-11-01"
"Trail or Shared Use Path","2830","2157","2830","WA","2011-11-01"
"Minor Collector","0","1488","0","WA","2011-12-01"
"Principal Arterial - Other Freeways and Expressways","888","2232","888","WA","2011-12-01"
"Trail or Shared Use Path","1934","2232","1934","WA","2011-12-01"
"Minor Collector","0","1488","0","WA","2012-01-01"
"Principal Arterial - Other Freeways and Expressways","742","2232","742","WA","2012-01-01"
"Trail or Shared Use Path","1904","2232","1904","WA","2012-01-01"
"Minor Collector","0","1392","0","WA","2012-02-01"
"Principal Arterial - Other Freeways and Expressways","848","2088","848","WA","2012-02-01"
"Trail or Shared Use Path","2694","1554","2694","WA","2012-02-01"
"Minor Collector","0","1486","0","WA","2012-03-01"
"Principal Arterial - Other Freeways and Expressways","859","2227","851","WA","2012-03-01"
"Trail or Shared Use Path","1009","1485","990","WA","2012-03-01"
"Minor Collector","0","1440","0","WA","2012-04-01"
"Principal Arterial - Other Freeways and Expressways","831","2160","831","WA","2012-04-01"
"Trail or Shared Use Path","2434","1440","2434","WA","2012-04-01"
"Minor Collector","0","1488","0","WA","2012-05-01"
"Principal Arterial - Other Freeways and Expressways","65803","2162","65803","WA","2012-05-01"
"Trail or Shared Use Path","150815","933","150815","WA","2012-05-01"
"Interstate","998","336","998","WA","2012-06-01"
"Major Collector","1129","840","1129","WA","2012-06-01"
"Minor Arterial","3631","1680","3631","WA","2012-06-01"
"Minor Collector","0","1440","0","WA","2012-06-01"
"Principal Arterial - Other","2314","1344","2314","WA","2012-06-01"
"Principal Arterial - Other Freeways and Expressways","552","1440","552","WA","2012-06-01"
"Trail or Shared Use Path","4838","1344","4838","WA","2012-06-01"
"Minor Collector","0","1488","0","WA","2012-07-01"
"Principal Arterial - Other Freeways and Expressways","800","1488","800","WA","2012-07-01"
"Minor Collector","0","1488","0","WA","2012-08-01"
"Principal Arterial - Other Freeways and Expressways","800","1488","800","WA","2012-08-01"
"Minor Collector","0","1440","0","WA","2012-09-01"
"Principal Arterial - Other Freeways and Expressways","1242","1440","1242","WA","2012-09-01"
"Minor Collector","0","1488","0","WA","2012-10-01"
"Principal Arterial - Other","67633","1414","67633","WA","2012-10-01"
"Principal Arterial - Other Freeways and Expressways","597","1488","597","WA","2012-10-01"
"Minor Collector","0","1436","0","WA","2012-11-01"
"Principal Arterial - Other","50632","1437","50632","WA","2012-11-01"
"Principal Arterial - Other Freeways and Expressways","192","1438","192","WA","2012-11-01"
"Minor Collector","252","1488","252","WA","2012-12-01"
"Principal Arterial - Other","36369","1488","36369","WA","2012-12-01"
"Principal Arterial - Other Freeways and Expressways","43","1488","43","WA","2012-12-01"
"Minor Collector","5132","1488","5132","WA","2013-01-01"
"Principal Arterial - Other","44884","1488","44884","WA","2013-01-01"
"Principal Arterial - Other Freeways and Expressways","5","1488","5","WA","2013-01-01"
"Minor Collector","12405","1344","12405","WA","2013-02-01"
"Principal Arterial - Other","50027","1344","50027","WA","2013-02-01"
"Principal Arterial - Other Freeways and Expressways","134","1344","134","WA","2013-02-01"
"Minor Collector","9418","1486","9182","WA","2013-03-01"
"Principal Arterial - Other","66089","1486","65043","WA","2013-03-01"
"Principal Arterial - Other Freeways and Expressways","702","1486","674","WA","2013-03-01"
"Minor Collector","1089","1440","1089","WA","2013-04-01"
"Principal Arterial - Other","71998","1440","71998","WA","2013-04-01"
"Principal Arterial - Other Freeways and Expressways","964","1440","964","WA","2013-04-01"
"Minor Collector","1182","1488","1182","WA","2013-05-01"
"Principal Arterial - Other","108574","1488","108574","WA","2013-05-01"
"Principal Arterial - Other Freeways and Expressways","1632","1488","1632","WA","2013-05-01"
"Minor Collector","1436","1440","1436","WA","2013-06-01"
"Principal Arterial - Other","99280","1436","99280","WA","2013-06-01"
"Principal Arterial - Other Freeways and Expressways","1945","1440","1945","WA","2013-06-01"
"Minor Collector","12485","1488","12485","WA","2013-07-01"
"Principal Arterial - Other","117974","1488","117974","WA","2013-07-01"
"Principal Arterial - Other Freeways and Expressways","2290","1488","2290","WA","2013-07-01"
"Minor Collector","349","1488","349","WA","2013-08-01"
"Principal Arterial - Other","104549","1488","104549","WA","2013-08-01"
"Principal Arterial - Other Freeways and Expressways","1959","1488","1959","WA","2013-08-01"
"Minor Collector","2378","1440","2378","WA","2013-09-01"
"Principal Arterial - Other","80729","1440","80729","WA","2013-09-01"
"Principal Arterial - Other Freeways and Expressways","1125","1440","1125","WA","2013-09-01"
"Minor Collector","1652","1488","1652","WA","2013-10-01"
"Principal Arterial - Other","81352","1488","81352","WA","2013-10-01"
"Principal Arterial - Other Freeways and Expressways","804","1488","804","WA","2013-10-01"
"Interstate","0","900","0","WA","2013-11-01"
"Local","0","1814","0","WA","2013-11-01"
"Major Collector","3003","2246","3003","WA","2013-11-01"
"Minor Collector","881","1436","881","WA","2013-11-01"
"Principal Arterial - Other","59256","1437","59256","WA","2013-11-01"
"Principal Arterial - Other Freeways and Expressways","275","1438","275","WA","2013-11-01"
"Interstate","3767","1480","3767","WA","2013-12-01"
"Local","10451","4760","10451","WA","2013-12-01"
"Major Collector","20086","7440","20086","WA","2013-12-01"
"Minor Collector","4678","1488","4678","WA","2013-12-01"
"Principal Arterial - Other","43553","1488","43553","WA","2013-12-01"
"Principal Arterial - Other Freeways and Expressways","89","1488","89","WA","2013-12-01"
"Interstate","11865","1488","11865","WA","2014-01-01"
"Local","41244","5952","41244","WA","2014-01-01"
"Major Collector","34140","7440","34140","WA","2014-01-01"
"Minor Collector","7345","1488","7345","WA","2014-01-01"
"Principal Arterial - Other","59873","1488","59873","WA","2014-01-01"
"Principal Arterial - Other Freeways and Expressways","112","1488","112","WA","2014-01-01"
"Interstate","8590","1344","8590","WA","2014-02-01"
"Local","36535","5374","36535","WA","2014-02-01"
"Major Collector","25033","6720","25033","WA","2014-02-01"
"Minor Collector","5578","1344","5578","WA","2014-02-01"
"Principal Arterial - Other","47025","1344","47025","WA","2014-02-01"
"Principal Arterial - Other Freeways and Expressways","81","1344","81","WA","2014-02-01"
"Interstate","14445","1486","13982","WA","2014-03-01"
"Local","48135","5944","46898","WA","2014-03-01"
"Major Collector","40211","7430","39075","WA","2014-03-01"
"Minor Collector","7413","1486","7245","WA","2014-03-01"
"Principal Arterial - Other","59617","1387","59123","WA","2014-03-01"
"Principal Arterial - Other Freeways and Expressways","611","1484","596","WA","2014-03-01"
"Interstate","22702","1440","22702","WA","2014-04-01"
"Local","58061","5760","58061","WA","2014-04-01"
"Major Collector","60232","7200","60232","WA","2014-04-01"
"Minor Collector","8432","1440","8432","WA","2014-04-01"
"Principal Arterial - Other","86855","1440","86855","WA","2014-04-01"
"Principal Arterial - Other Freeways and Expressways","1175","1440","1175","WA","2014-04-01"
"Interstate","32065","1488","32065","WA","2014-05-01"
"Local","76647","5950","76647","WA","2014-05-01"
"Major Collector","87458","7440","87458","WA","2014-05-01"
"Minor Collector","12691","1488","12691","WA","2014-05-01"
"Principal Arterial - Other","118644","1488","118644","WA","2014-05-01"
"Principal Arterial - Other Freeways and Expressways","1797","1488","1797","WA","2014-05-01"
"Interstate","30738","1440","30738","WA","2014-06-01"
"Local","76958","5760","76958","WA","2014-06-01"
"Major Collector","85690","7200","85690","WA","2014-06-01"
"Minor Collector","14778","1440","14778","WA","2014-06-01"
"Principal Arterial - Other","110907","1440","110907","WA","2014-06-01"
"Principal Arterial - Other Freeways and Expressways","1968","1440","1968","WA","2014-06-01"
"Interstate","35459","1488","35459","WA","2014-07-01"
"Local","88278","5952","88278","WA","2014-07-01"
"Major Collector","94437","7440","94437","WA","2014-07-01"
"Minor Collector","15637","1488","15637","WA","2014-07-01"
"Principal Arterial - Other","120669","1488","120669","WA","2014-07-01"
"Principal Arterial - Other Freeways and Expressways","1703","1488","1703","WA","2014-07-01"
"Interstate","30190","1488","30190","WA","2014-08-01"
"Local","76583","5952","76583","WA","2014-08-01"
"Major Collector","87310","7438","87310","WA","2014-08-01"
"Minor Collector","17389","1488","17389","WA","2014-08-01"
"Principal Arterial - Other","112490","1488","112490","WA","2014-08-01"
"Principal Arterial - Other Freeways and Expressways","1582","1488","1582","WA","2014-08-01"
"Interstate","23566","1440","23566","WA","2014-09-01"
"Local","72639","5760","72639","WA","2014-09-01"
"Major Collector","66253","7200","66253","WA","2014-09-01"
"Minor Collector","16328","1440","16328","WA","2014-09-01"
"Principal Arterial - Other","97558","1440","97558","WA","2014-09-01"
"Principal Arterial - Other Freeways and Expressways","1496","1440","1496","WA","2014-09-01"
"Interstate","16611","1488","16611","WA","2014-10-01"
"Local","62525","5952","62525","WA","2014-10-01"
"Major Collector","48526","7430","48526","WA","2014-10-01"
"Minor Collector","11425","1488","11425","WA","2014-10-01"
"Principal Arterial - Other","83184","1488","83184","WA","2014-10-01"
"Principal Arterial - Other Freeways and Expressways","894","1488","894","WA","2014-10-01"
"Interstate","11587","1436","11587","WA","2014-11-01"
"Local","43618","5750","43618","WA","2014-11-01"
"Major Collector","31536","7190","31536","WA","2014-11-01"
"Minor Collector","6008","1436","6008","WA","2014-11-01"
"Principal Arterial - Other","56970","1437","56970","WA","2014-11-01"
"Principal Arterial - Other Freeways and Expressways","245","1438","245","WA","2014-11-01"
"Interstate","9888","1488","9888","WA","2014-12-01"
"Local","38824","5952","38824","WA","2014-12-01"
"Major Collector","27025","7440","27025","WA","2014-12-01"
"Minor Collector","4324","1488","4324","WA","2014-12-01"
"Principal Arterial - Other","48507","1488","48507","WA","2014-12-01"
"Principal Arterial - Other Freeways and Expressways","140","1488","140","WA","2014-12-01"
"Interstate","14059","1488","14059","WA","2015-01-01"
"Local","45853","5952","45853","WA","2015-01-01"
"Major Collector","36715","7440","36715","WA","2015-01-01"
"Minor Collector","8016","2976","8016","WA","2015-01-01"
"Principal Arterial - Other","60630","1488","60630","WA","2015-01-01"
"Principal Arterial - Other Freeways and Expressways","30","1488","30","WA","2015-01-01"
"Interstate","9136","1342","9136","WA","2015-02-01"
"Local","36126","4776","36126","WA","2015-02-01"
"Major Collector","38781","6718","38781","WA","2015-02-01"
"Minor Collector","8262","2688","8262","WA","2015-02-01"
"Principal Arterial - Other","58659","1344","58659","WA","2015-02-01"
"Principal Arterial - Other Freeways and Expressways","456","1344","456","WA","2015-02-01"
"Interstate","33032","4262","30452","WA","2015-03-01"
"Local","15494","7430","14996","WA","2015-03-01"
"Major Collector","51934","7430","48942","WA","2015-03-01"
"Minor Collector","8476","2772","8441","WA","2015-03-01"
"Principal Arterial - Other","65337","1387","64368","WA","2015-03-01"
"Principal Arterial - Other Freeways and Expressways","3944","7228","3725","WA","2015-03-01"
"Interstate","44542","4320","44542","WA","2015-04-01"
"Local","52839","7200","52839","WA","2015-04-01"
"Major Collector","61173","7200","61173","WA","2015-04-01"
"Minor Collector","10520","2880","10520","WA","2015-04-01"
"Principal Arterial - Other","83697","2796","83697","WA","2015-04-01"
"Principal Arterial - Other Freeways and Expressways","5231","7200","5231","WA","2015-04-01"
"Interstate","63646","4464","63646","WA","2015-05-01"
"Local","73320","7440","73320","WA","2015-05-01"
"Major Collector","93102","7440","93102","WA","2015-05-01"
"Minor Collector","5459","2976","5459","WA","2015-05-01"
"Principal Arterial - Other","107775","5952","107775","WA","2015-05-01"
"Principal Arterial - Other Freeways and Expressways","7233","7440","7233","WA","2015-05-01"
"Interstate","63497","4320","63497","WA","2015-06-01"
"Local","74190","7200","74190","WA","2015-06-01"
"Major Collector","95897","7200","95897","WA","2015-06-01"
"Minor Collector","13952","2880","13952","WA","2015-06-01"
"Principal Arterial - Other","113717","5760","113717","WA","2015-06-01"
"Principal Arterial - Other Freeways and Expressways","7973","7200","7973","WA","2015-06-01"
"Trail or Shared Use Path","13665","1528","13665","WA","2015-06-01"
"Interstate","58658","4464","58658","WA","2015-07-01"
"Local","72923","7440","72923","WA","2015-07-01"
"Major Collector","92466","7440","92466","WA","2015-07-01"
"Minor Collector","14106","2976","14106","WA","2015-07-01"
"Principal Arterial - Other","114305","6784","114305","WA","2015-07-01"
"Principal Arterial - Other Freeways and Expressways","7430","7440","7430","WA","2015-07-01"
"Trail or Shared Use Path","48513","5952","48513","WA","2015-07-01"
"Interstate","53001","4464","53001","WA","2015-08-01"
"Local","64259","7440","64259","WA","2015-08-01"
"Major Collector","85109","7440","85109","WA","2015-08-01"
"Minor Arterial","72","1144","72","WA","2015-08-01"
"Minor Collector","12809","2976","12809","WA","2015-08-01"
"Principal Arterial - Other","114582","11904","114582","WA","2015-08-01"
"Principal Arterial - Other Freeways and Expressways","6312","7440","6312","WA","2015-08-01"
"Trail or Shared Use Path","47006","7096","47006","WA","2015-08-01"
"Interstate","39656","4320","39656","WA","2015-09-01"
"Local","56193","7200","56193","WA","2015-09-01"
"Major Collector","64423","7200","64423","WA","2015-09-01"
"Minor Arterial","332","5760","332","WA","2015-09-01"
"Minor Collector","7189","2880","7189","WA","2015-09-01"
"Principal Arterial - Other","99567","11896","99567","WA","2015-09-01"
"Principal Arterial - Other Freeways and Expressways","5206","7200","5206","WA","2015-09-01"
"Trail or Shared Use Path","41975","11520","41975","WA","2015-09-01"
"Interstate","31562","4464","31562","WA","2015-10-01"
"Local","47078","7440","47078","WA","2015-10-01"
"Major Collector","50775","7440","50775","WA","2015-10-01"
"Minor Arterial","203","5952","203","WA","2015-10-01"
"Minor Collector","11806","2976","11806","WA","2015-10-01"
"Principal Arterial - Other","89401","17856","89401","WA","2015-10-01"
"Principal Arterial - Other Freeways and Expressways","4288","7440","4288","WA","2015-10-01"
"Trail or Shared Use Path","32185","15160","32185","WA","2015-10-01"
"Interstate","18910","4314","18910","WA","2015-11-01"
"Local","32304","7186","32304","WA","2015-11-01"
"Major Collector","23404","7190","23404","WA","2015-11-01"
"Minor Arterial","97","5752","97","WA","2015-11-01"
"Minor Collector","8286","2876","8286","WA","2015-11-01"
"Principal Arterial - Other","60285","13800","60285","WA","2015-11-01"
"Principal Arterial - Other Freeways and Expressways","2220","7190","2220","WA","2015-11-01"
"Trail or Shared Use Path","16429","17256","16429","WA","2015-11-01"
"Interstate","13753","4464","13753","WA","2015-12-01"
"Local","32504","7440","32504","WA","2015-12-01"
"Major Collector","20281","7404","20281","WA","2015-12-01"
"Minor Arterial","55","5952","55","WA","2015-12-01"
"Minor Collector","6353","2976","6353","WA","2015-12-01"
"Principal Arterial - Other","46765","11904","46765","WA","2015-12-01"
"Principal Arterial - Other Freeways and Expressways","1482","7881","1482","WA","2015-12-01"
"Trail or Shared Use Path","10224","17856","10224","WA","2015-12-01"
"Interstate","18530","4464","18530","WA","2016-01-01"
"Local","28608","7424","28608","WA","2016-01-01"
"Major Collector","29325","7440","29325","WA","2016-01-01"
"Minor Arterial","21","5952","21","WA","2016-01-01"
"Minor Collector","7427","2976","7427","WA","2016-01-01"
"Principal Arterial - Other","55439","11904","55439","WA","2016-01-01"
"Principal Arterial - Other Freeways and Expressways","1774","8184","1774","WA","2016-01-01"
"Trail or Shared Use Path","13908","17856","13908","WA","2016-01-01"
"Interstate","23541","4176","23541","WA","2016-02-01"
"Local","33074","6776","33074","WA","2016-02-01"
"Major Collector","36606","6960","36606","WA","2016-02-01"
"Minor Arterial","125","5568","125","WA","2016-02-01"
"Minor Collector","8389","2784","8389","WA","2016-02-01"
"Principal Arterial - Other","65029","11400","65029","WA","2016-02-01"
"Principal Arterial - Other Freeways and Expressways","3259","7656","3259","WA","2016-02-01"
"Trail or Shared Use Path","21900","16704","21900","WA","2016-02-01"
"Interstate","28518","4454","28294","WA","2016-03-01"
"Local","39240","7430","38995","WA","2016-03-01"
"Major Collector","45634","7430","45294","WA","2016-03-01"
"Minor Arterial","183","5936","174","WA","2016-03-01"
"Minor Collector","9450","2968","9304","WA","2016-03-01"
"Principal Arterial - Other","95883","23632","95363","WA","2016-03-01"
"Principal Arterial - Other Freeways and Expressways","4194","8162","4158","WA","2016-03-01"
"Trail or Shared Use Path","30504","17808","30171","WA","2016-03-01"
"Interstate","48238","4320","48238","WA","2016-04-01"
"Local","60105","5924","60105","WA","2016-04-01"
"Major Collector","75859","7200","75859","WA","2016-04-01"
"Minor Arterial","451","5760","451","WA","2016-04-01"
"Minor Collector","12619","2880","12619","WA","2016-04-01"
"Principal Arterial - Other","142235","23012","142235","WA","2016-04-01"
"Principal Arterial - Other Freeways and Expressways","8247","7920","8247","WA","2016-04-01"
"Trail or Shared Use Path","58173","17280","58173","WA","2016-04-01"
"Interstate","55289","4464","55289","WA","2016-05-01"
"Local","70602","5952","70602","WA","2016-05-01"
"Major Collector","93302","7440","93302","WA","2016-05-01"
"Minor Arterial","354","5952","354","WA","2016-05-01"
"Minor Collector","12470","1874","12470","WA","2016-05-01"
"Principal Arterial - Other","164160","23808","164160","WA","2016-05-01"
"Principal Arterial - Other Freeways and Expressways","9248","8184","9248","WA","2016-05-01"
"Trail or Shared Use Path","63307","17856","63307","WA","2016-05-01"
"Interstate","41100","4320","41100","WA","2016-06-01"
"Local","65734","5760","65734","WA","2016-06-01"
"Major Collector","87273","7200","87273","WA","2016-06-01"
"Minor Arterial","403","5760","403","WA","2016-06-01"
"Minor Collector","11611","1440","11611","WA","2016-06-01"
"Principal Arterial - Other","154345","23000","154345","WA","2016-06-01"
"Principal Arterial - Other Freeways and Expressways","8657","7920","8657","WA","2016-06-01"
